main_category,sub_category,sub_type,used,updated_date
Transportation,,airstrip,FALSE,2024-11-07
Transportation,,bus_station,TRUE,2024-01-01
Transportation,,bus_stop,TRUE,2024-01-01
Transportation,,ferry_terminal,TRUE,2024-01-01
Transportation,,heliport,FALSE,2024-01-01
Transportation,,international_airport,TRUE,2024-11-07
Transportation,,light_rail_station,TRUE,2024-01-01
Transportation,,park_and_ride,FALSE,2024-11-07
Transportation,,subway_station,TRUE,2024-01-01
Transportation,,taxi_stand,FALSE,2024-01-01
Transportation,,train_station,TRUE,2024-01-01
Transportation,,transit_depot,TRUE,2024-01-01
Transportation,,transit_station,TRUE,2024-01-01
Transportation,,truck_stop,FALSE,2024-01-01
